Rank,Lister,Artist,Album,# of lists,98
5,Luke,Floating Points & Pharaoh Sanders,Promises,,
6,Luke,"Tyler, the Creator",Call Me If You Get Lost,,
7,Luke,Spellling,The Turning Wheel,,
8,Luke,We Were Promised Jetpacks,Enjoy the View,,
9,Luke,Shad,Tao,,
10,Luke,Hiatus Kaiyote,Mood Valiant,,
1,Maddie,Allison Russell,Outside Child,,
2,Maddie,Adele,30,,
3,Maddie,Japanese Breakfast,Jubilee,,
4,Maddie,Clairo,Sling,,
5,Maddie,Jazmine Sullivan,Heaux Tales,,
6,Maddie,Yebba,Dawn,,
7,Maddie,Griff,One Foot In Front Of The Other,,
8,Maddie,Drake,Scary Hours 2,,
9,Maddie,Tems,If Orange Was A Place,,
10,Maddie,Lil Nas X,Montero,,
1,Malcolm,Morgan Wallen,Dangerous: the Double Album,,
2,Malcolm,The Band Camino,The Band Camino,,
3,Malcolm,Thomas Rhett,Country Again,,
4,Malcolm,Jason Aldean,MACON,,
5,Malcolm,Ed Sheeran, =,,
6,Malcolm,LANY,gg bb xx,,
7,Malcolm,Phil Wickham,Hymn of Heaven,,
8,Malcolm,Scotty McCreery,Same Truck,,
9,Malcolm,Mitchell Tenpenny,Midtown Diaries,,
10,Malcolm,Valley,Last Birthday,,
1,Marquis,Adele,30,,
2,Marquis,Lil Nas X,Montero,,
3,Marquis,ABBA,Voyage,,
4,Marquis,Joni Mitchell,"Joni Mitchell Archives, Vol. 2: The Reprise Years",,
5,Marquis,Silk Sonic,An Evening With Silk Sonic,,
6,Marquis,Dominic Lewis,Monsters at Work (Original Soundtrack),,
7,Marquis,Diana Ross,Thank You,,
8,Marquis,Christophe Beck,WandaVision: Episode 7 (Original Soundtrack),,
9,Marquis,Michael Giacchino,Spider-Man: No Way Home (Original Motion Picture Soundtrack),,
10,Marquis,Prince,Welcome 2 America,,
1,Maya,Isaiah Rashad,The House is Burning,,
2,Maya,Summer Walker,Still Over It,,
3,Maya,"Tyler, the Creator",Call Me If You Get Lost,,
4,Maya,Adele,30,,
5,Maya,Tems,If Orange Was A Place,,
6,Maya,J. Cole,The Off-Season,,
7,Maya,Drake,Certified Lover Boy,,
8,Maya,Snoh Alegra,TEMPORARY HIGHS IN THE VIOLET SKIES,,
9,Maya,Baby Keem,The Melodic Blue,,
10,Maya,Jazmine Sullivan,Heaux Tales,,
1,McKenna,Lorde,Solar Power,,
2,McKenna,Tai Verdes,TV,,
3,McKenna,blackbear,misery lake,,
4,McKenna,Billie Eilish,Happier Than Ever,,
5,McKenna,MARINA,Ancient Dreams In A Modern Land,,
6,McKenna,24kGoldn,El Dorado,,
7,McKenna,AJR,Ok Orchestra,,
8,McKenna,Quinn XCII,Change of Scenery II,,
9,McKenna,Surfaces,Pacifico,,
10,McKenna,SEB,"IT'S OKAY, WE'RE DREAMING",,
1,Michael,Arlo Parks,Collapsed in Sunbeams,,
2,Michael,Cautious Clay,Deadpan Love,,
3,Michael,Dave,We’re All Alone in this Together,,
4,Michael,Silk Sonic,An Evening With Silk Sonic,,
5,Michael,J. Cole,The Off-Season,,
6,Michael,Julien Baker,Little Oblivions,,
7,Michael,Half Moon Run,Inwards & Onwards EP,,
8,Michael,Zayn,Nobody is Listening,,
9,Michael,Manchester Orchestra,The Million Masks of God,,
10,Michael,Wolf Alice,Blue Weekend,,
1,Mike,Fleet Foxes,A Very Lonely Solstice,,
2,Mike,Little Simz,Sometimes I Might Be Introvert,,
3,Mike,Lana Del Rey,Blue Banisters,,
4,Mike,Manchester Orchestra,The Million Masks of God,,
5,Mike,The War on Drugs,I Don't Live Here Anymore,,
6,Mike,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,,
7,Mike,The Weather Station,Ignorance,,
8,Mike,Billie Eilish,Happier Than Ever,,
9,Mike,The Killers,Pressure Machine,,
10,Mike,Finneas,Optimist,,
1,Nathan,Lawrence,Hotel TV,,
2,Nathan,Parcels,Day/Night,,
3,Nathan,Sammy Rae & The Friends,Let's Throw a Party,,
4,Nathan,TWRP,New & Improved,,
5,Nathan,Melt,West Side Highway,,
6,Nathan,Brasstracks,Welcome Back Era,,
7,Nathan,Starcadian,Radio Galaxy,,
8,Nathan,Chris Renzema,Get Out of the Way of Your Own Heart,,
9,Nathan,Cory Wong,Cory and the Wongnotes,,
10,Nathan,Diamond Cafe,Say You Will,,
1,Nick C,Billy Strings,Renewal,,
2,Nick C,Mike and the Moonpies,One to Grow On,,
3,Nick C,Carly Pearce,29,,
4,Nick C,Eric Church,Heart,,
5,Nick C,Midland,The Sonic Ranch,,
6,Nick C,Sturgill Simpson,The Ballad of Dood & Juanita,,
7,Nick C,Sierra Ferrell,Long Time Coming,,
8,Nick C,Charles Wesley Godwin,How the Mighty Fall,,
9,Nick C,Cody Johnson,Human: The Double Album,,
10,Nick C,"Jack Ingram, Miranda Lambert & Jon Randall",The Marfa Tapes,,
1,Nick F.,Silk Sonic,An Evening With Silk Sonic,,
2,Nick F.,Surfaces,Pacifico,,
3,Nick F.,Peach Tree Rascals,Camp Nowhere,,
4,Nick F.,Richie Quake,Voyager EP,,
5,Nick F.,Flozigg,Beige EP,,
6,Nick F.,James Blake,Friends That Break Your Heart,,
7,Nick F.,Bo Burnham,Inside (The Songs),,
8,Nick F.,Hobo Johnson,Hobo Johnson Alienates His Fanbase,,
9,Nick F.," 88rising, DJ Snake, and Niki",Shang-Chi and the Legend of the Ten Rings: The Album,,
10,Nick F.,Dayglow,Harmony House,,
1,Nick V.,Ian Munsick,Coyote Cry,,
2,Nick V.,The Band Camino,The Band Camino,,
3,Nick V.,Morgan Wallen,Dangerous: the Double Album,,
4,Nick V.,Brett Eldredge,Mr. Christmas,,
5,Nick V.,Billy Currington,Intuition,,
6,Nick V.,Country Stuff,Walker Hayes,,
7,Nick V.,Thomas Rhett,Country Again,,
8,Nick V.,Alan Jackson,Where Have You Gone,,
9,Nick V.,Dan + Shay,Good Things,,
10,Nick V.,Jordan Davis,Buy Dirt,,
1,Nicole,Olivia Rodrigo,Sour,,
2,Nicole,"Tyler, the Creator",Call Me If You Get Lost,,
3,Nicole,Kanye West,Donda,,
4,Nicole,blackbear,misery lake,,
5,Nicole,Aminé,TWOPOINTFIVE,,
6,Nicole,Cautious Clay,Deadpan Love,,
7,Nicole,Isaiah Rashad,The House is Burning,,
8,Nicole,Justin Bieber,Justice,,
9,Nicole,Tai Verdes,TV,,
10,Nicole,Drake,Certified Lover Boy,,
1,Nika,Olivia Rodrigo,Sour,,
2,Nika,Joshua Bassett,Joshua Bassett,,
3,Nika,Lizzy McAlpine,When The World Stopped Moving: The Live EP,,
4,Nika,Finneas,Optimist,,
5,Nika,Joshua Bassett,CRISIS,,
6,Nika,Adele,30,,
7,Nika,Silk Sonic,An Evening With Silk Sonic,,
8,Nika,Lawrence,Hotel TV,,
9,Nika,Barlow & Bear,The Unofficial Bridgerton Musical,,
10,Nika,Willow,Lately I Feel Everything,,
1,Noah B,Brandi Carlile,In These Silent Days,,
2,Noah B,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,,
3,Noah B,The Black Keys,Delta Kream,,
4,Noah B,Lord Huron,Long Lost,,
5,Noah B,Billie Eilish,Happier Than Ever,,
6,Noah B,John Mark McMillan,Has It Been You,,
7,Noah B,Gospel Whiskey Runners,Move On,,
8,Noah B,Miko Marks and the Resurrectors,Race Records,,
9,Noah B,Twenty One Pilots,Scaled and Icy,,
10,Noah B,KALEO,Surface Sounds,,
1,Nolan,Lucy Dacus,Home Video,,
2,Nolan,Hayley Williams,FLOWERS for VASES / descansos,,
3,Nolan,Andy Squyres,Poet Priest,,
4,Nolan,Kings of Leon,When You See Yourself,,
5,Nolan,Switchfoot,interrobang,,
6,Nolan,Natalie Schepman,Fresh Water in an Empty Vase,,
7,Nolan,Sam Fender,Seventeen Going Under,,
8,Nolan,Manchester Orchestra,The Million Masks of God,,
9,Nolan,Olivia Rodrigo,Sour,,
10,Nolan,Thrice,Horizons / East,,
1,Odi,Adele,30,,
2,Odi,CANDIACE,Deep Space,,
3,Odi,Pleasure P,Business Before Pleasure,,
4,Odi,Doja Cat,Planet Her,,
5,Odi,Drake,Certified Lover Boy,,
6,Odi,Tinashe,333,,
7,Odi,Megan Thee Stallion,Something For Thee Hotties,,
8,Odi,Shelley FKA DRAM,Shelley FKA DRAM,,
9,Odi,Saucy Santana,Keep It Playa,,
10,Odi,Lil Nas X,Montero,,
1,Patty,Adele,30,,
2,Patty,Billie Eilish,Happier Than Ever,,
3,Patty,Olivia Rodrigo,Sour,,
4,Patty,Still Woozy,"If This Isn't Nice, I Don't Know What Is",,
5,Patty,Lorde,Solar Power,,
6,Patty,Clairo,Sling,,
7,Patty,girl in red,if i could make it go quiet,,
8,Patty,Illenium,Fallen Embers,,
9,Patty,Oh Wonder,22 Break,,
10,Patty,Kacey Musgraves,star-crossed,,
1,Peggy,Kacey Musgraves,star-crossed,,
2,Peggy,Maisie Peters,You Signed Up For This,,
3,Peggy,Brandi Carlile,In These Silent Days,,
4,Peggy,Alicia Keys,KEYS,,
5,Peggy,Jorja Smith,Be Right Back,,
6,Peggy,Lana Del Rey,Chemtrails Over the Country Club,,
7,Peggy,Ed Sheeran, =,,
8,Peggy,Said The Whale,Dandelion,,
9,Peggy,Sting,The Bridge,,
10,Peggy,Alex Cuba,Mendó,,
1,Quinn,Pinkpantheress,To Hell With It,,
2,Quinn,Summer Walker,Still Over It,,
3,Quinn,Tinashe,333,,
4,Quinn,Doja Cat,Planet Her,,
5,Quinn,Megan Thee Stallion,Something For Thee Hotties,,
6,Quinn,Willow,Lately I Feel Everything,,
7,Quinn,Vanjess,Homegrown,,
8,Quinn,Amaal,Molly,,
9,Quinn,Tems,If Orange Was A Place,,
10,Quinn,Jorja Smith,Be Right Back,,
1,Rafa,Cole Chaney,Mercy,,
2,Rafa,Morgan Wade,Reckless,,
3,Rafa,Morgan Wallen,Dangerous: the Double Album,,
4,Rafa,Carly Pearce,29,,
5,Rafa,Triston Marez,Triston Marez,,
6,Rafa,Cody Johnson,Human: The Double Album,,
7,Rafa,Flatland Cavalry,Welcome To Countryland,,
8,Rafa,Charles Wesley Godwin,How the Mighty Fall,,
9,Rafa,Lainey Wilson,Sayin' What I'm Thinkin',,
10,Rafa,Midland,The Sonic Ranch,,
1,Rein,Andy Shauf,Wilds,,
2,Rein,Indigo de Souza,Any Shape You Take,,
3,Rein,Genesis Owusu,Smiling with No Teeth,,
4,Rein,black midi,Cavalcade,,
5,Rein,Christopher Atkins,On the Turn Again,,
6,Rein,Delta Sleep,Spring Island,,
7,Rein,Squid,Bright Green Field,,
8,Rein,The Armed,Ultrapop,,
9,Rein,Clairo,Sling,,
10,Rein,BADBADNOTGOOD,Talk Memory,,
1,Robbie,Mark Barlow,Hymns & Soul,,
2,Robbie,Lawrence,Hotel TV,,
3,Robbie,Chris Renzema,Get Out of the Way of Your Own Heart,,
4,Robbie,Dayglow,Harmony House,,
5,Robbie,Silk Sonic,An Evening With Silk Sonic,,
6,Robbie,Citizens,The Joy of Being,,
7,Robbie,As Isaac,Over The Flood,,
8,Robbie,Stephan Moccio,Lionheart,,
9,Robbie,Jordan Rakei,What We Call Life,,
10,Robbie,Lake Street Dive,Obviously,,
1,Rowyn,Isaiah Rashad,The House is Burning,,
2,Rowyn,Vince Staples,Vince Staples,,
3,Rowyn,"Tyler, the Creator",Call Me If You Get Lost,,
4,Rowyn,Audrey Nuna,A Liquid Breakfast,,
5,Rowyn,Little Simz,Sometimes I Might Be Introvert,,
6,Rowyn,Mick Jenkins,A Elephant in the Room,,
7,Rowyn,Maxo Kream,Weight of the World,,
8,Rowyn,daysormay,Just Existing,,
9,Rowyn,The Doughboys & Brainiac,The Doughboys,,
10,Rowyn,Baby Keem,The Melodic Blue,,
1,Sam,"Tyler, the Creator",Call Me If You Get Lost,,
2,Sam,Little Simz,Sometimes I Might Be Introvert,,
3,Sam,Wolf Alice,Blue Weekend,,
4,Sam,Injury Reserve,By the Time I Get to Phoenix,,
5,Sam,Parcels,Day/Night,,
6,Sam,Brockhampton,Roadrunner,,
7,Sam,The Armed,Ultrapop,,
8,Sam,Silk Sonic,An Evening With Silk Sonic,,
9,Sam,Olivia Rodrigo,Sour,,
10,Sam,Turnstile,Glow On,,
1,Scott,Turnstile,Glow On,,
2,Scott,Every Time I Die,Radical,,
3,Scott,Noah Gunderson,A Pillar of Salt,,
4,Scott,Manchester Orchestra,The Million Masks of God,,
5,Scott,Hayden Calnin,What It Means to Be Human,,
6,Scott,Drug Church,Tawny,,
7,Scott,The Bronx,The Bronx VI,,
8,Scott,cleopatrick,BUMMER,,
9,Scott,Julien Baker,Little Oblivions,,
10,Scott,Dooms Children,Dooms Children,,
1,Shane,Silk Sonic,An Evening With Silk Sonic,,
2,Shane,LOONY,soft thing,,
3,Shane,Jorja Smith,Be Right Back,,
4,Shane,CHIKA,ONCE UPON A TIME,,
5,Shane,Hiatus Kaiyote,Mood Valiant,,
6,Shane,Vince Staples,Vince Staples,,
7,Shane,Remi Wolf,Juno,,
8,Shane,Jazmine Sullivan,Heaux Tales,,
9,Shane,Durand Jones & The Indications,Private Space,,
10,Shane,Kota the Friend,"Lyrics to GO, Vol. 2",,
1,Shaughnessy,Silk Sonic,An Evening With Silk Sonic,,
2,Shaughnessy,Charley Crockett,Music City USA,,
3,Shaughnessy,Clairo,Sling,,
4,Shaughnessy,Adele,30,,
5,Shaughnessy,Olivia Rodrigo,Sour,,
6,Shaughnessy,Leon Bridges,Gold-Diggers Sound,,
7,Shaughnessy,Bo Burnham,Inside (The Songs),,
8,Shaughnessy,Injury Reserve,By the Time I Get to Phoenix,,
9,Shaughnessy,bbno$,eat ya veggies,,
10,Shaughnessy,Kacey Musgraves,star-crossed,,
1,Simon,DJ Manny,Signals in My Head,,
2,Simon,Floating Points & Pharaoh Sanders,Promises,,
3,Simon,Young Thug,Punk,,
4,Simon,Kanye West,Donda,,
5,Simon,anaiis,this is no longer a dream,,
6,Simon,Baby Keem,The Melodic Blue,,
7,Simon,Tems,If Orange Was A Place,,
8,Simon,Low,Hey What,,
9,Simon,Isaiah Rashad,The House is Burning,,
10,Simon,Navy Blue,Navy's Reprise,,
1,Sophie,dodie,Build A Problem,,
2,Sophie,chloe moriondo,Blood Bunny,,
3,Sophie,Lil Nas X,Montero,,
4,Sophie,Bo Burnham,Inside (The Songs),,
5,Sophie,Billie Eilish,Happier Than Ever,,
6,Sophie,Adele,30,,
7,Sophie,Doja Cat,Planet Her,,
8,Sophie,girl in red,if i could make it go quiet,,
9,Sophie,Alexandre Desplat,The French Dispatch (Original Score),,
10,Sophie,Olivia Rodrigo,Sour,,
1,Stephen,The Hold Steady,Open Door Policy,,
2,Stephen,Olivia Rodrigo,Sour,,
3,Stephen,Halsey,"If I Can't Have Love, I Want Power",,
4,Stephen,Morgan Wade,Reckless,,
5,Stephen,My Morning Jacket,My Morning Jacket,,
6,Stephen,Low,Hey What,,
7,Stephen,Various Artists,"tick, tick... BOOM! (Soundtrack from the Netflix Film)",,
8,Stephen,Robert Plant & Alison Krauss,Raise The Roof,,
9,Stephen,Snotty Nose Rez Kids,Life After,,
10,Stephen,Alien Weaponry,Tangaroa,,
1,Stewart,Apollo Brown & Stalley,Blacklight,,
2,Stewart,Charlie Hickey,Count the Stairs,,
3,Stewart,$uicideboy$,Long Term Effects of SUFFERING,,
4,Stewart,Kota the Friend & Statik Selektah,To Kill a Sunrise,,
5,Stewart,Baby Keem,The Melodic Blue,,
6,Stewart,Adele,30,,
7,Stewart,Turnstile,Glow On,,
8,Stewart,Lute,Gold Mouf,,
9,Stewart,Bluestaeb,GISEKE,,
10,Stewart,Conway the Machine,La Maquina,,
1,Sydney,Billie Eilish,Happier Than Ever,,
2,Sydney,John Mayer,Sob Rock,,
3,Sydney,Sam Fender,Seventeen Going Under,,
4,Sydney,Olivia Rodrigo,Sour,,
5,Sydney,Lorde,Solar Power,,
6,Sydney,Villagers,Fever Dreams,,
7,Sydney,Adele,30,,
8,Sydney,Big Red Machine,How Long Do You Think It's Gonna Last?,,
9,Sydney,JP Saxe,Dangerous Levels of Introspection,,
10,Sydney,NEEDTOBREATHE,Into The Mystery,,
1,Taylor B,Billie Eilish,Happier Than Ever,,
2,Taylor B,Adele,30,,
3,Taylor B,Lorde,Solar Power,,
4,Taylor B,Lana Del Rey,Blue Banisters,,
5,Taylor B,KINGZMN,Where Do We Go From Here?,,
6,Taylor B,Olivia Rodrigo,Sour,,
7,Taylor B,Blonde Otter,Blonde Otter,,
8,Taylor B,ABBA,Voyage,,
9,Taylor B,Kacey Musgraves,star-crossed,,
10,Taylor B,Lil Nas X,Montero,,
1,Taylor M,Holly Humberstone,The Walls Are Way Too Thin,,
2,Taylor M,COIN,Rainbow Mixtape,,
3,Taylor M,Finneas,Optimist,,
4,Taylor M,No Rome,It's All Smiles,,
5,Taylor M,Billie Eilish,Happier Than Ever,,
6,Taylor M,Bleachers,Take the Sadness Out of Saturday Night,,
7,Taylor M,The Band Camino,The Band Camino,,
8,Taylor M,Olivia Rodrigo,Sour,,
9,Taylor M,Anderson East,Maybe We Never Die,,
10,Taylor M,Valley,Last Birthday,,
1,Tristan,Remi Wolf,Juno,,
2,Tristan,P!nk,All I Know So Far: Setlist,,
3,Tristan,Surfaces,Pacifico,,
4,Tristan,Billie Eilish,Happier Than Ever,,
5,Tristan,Arlo Parks,Collapsed in Sunbeams,,
6,Tristan,Adele,30,,
7,Tristan,Celeste,Not Your Muse,,
8,Tristan,Hayley Williams,FLOWERS for VASES / descansos,,
9,Tristan,Allison Russell,Outside Child,,
10,Tristan,Julien Baker,Little Oblivions,,
1,Tristen C,Sam Williams,Glasshouse Children,,
2,Tristen C,Carly Pearce,29,,
3,Tristen C,Charles Wesley Godwin,How the Mighty Fall,,
4,Tristen C,James McMurtry,The Horses and the Hounds,,
5,Tristen C,The Killers,Pressure Machine,,
6,Tristen C,Morgan Wade,Reckless,,
7,Tristen C,NEEDTOBREATHE,Into The Mystery,,
8,Tristen C,Sierra Ferrell,Long Time Coming,,
9,Tristen C,"Tyler, the Creator",Call Me If You Get Lost,,
10,Tristen C,Jon Foreman,Departures,,
1,Tristen S,JUDAH.,3 + 7,,
2,Tristen S,Switchfoot,interrobang,,
3,Tristen S,Woodlock,The Future of an End,,
4,Tristen S,Jon Foreman,Departures,,
5,Tristen S,Joel Ansett,I Should Get Some Rest,,
6,Tristen S,Chris Renzema,Get Out of the Way of Your Own Heart,,
7,Tristen S,Jess Ray,Baby Take My Hand,,
8,Tristen S,Zach Winters,Other Side (B),,
9,Tristen S,Sarah Juers,Cyberspace,,
10,Tristen S,Andrew Blooms,987,,
1,Vanessa,Wilderado,Wilderado,,
2,Vanessa,Briston Maroney,Sunflower,,
3,Vanessa,The Black Keys,Delta Kream,,
4,Vanessa,Royal Blood,Typhoons,,
5,Vanessa,Nothing But Thieves,Moral Panic II,,
6,Vanessa,The Drums,MOMMY DON'T SPANK ME,,
7,Vanessa,Billie Eilish,Happier Than Ever,,
8,Vanessa,IDLES,CRAWLER,,
9,Vanessa,Olivia Rodrigo,Sour,,
10,Vanessa,cleopatrick,BUMMER,,
1,Weston,Jungle,Loving in Stereo,,
2,Weston,"Tyler, the Creator",Call Me If You Get Lost,,
3,Weston,Vince Staples,Vince Staples,,
4,Weston,Little Simz,Sometimes I Might Be Introvert,,
5,Weston,Mach-Hommy,Pray for Haiti,,
6,Weston,The Dirty Nil,Fuck Art,,
7,Weston,Turnstile,Glow On,,
8,Weston,Brockhampton,Roadrunner,,
9,Weston,Baby Keem,The Melodic Blue,,
10,Weston,Armand Hammer & The Alchemist,Haram,,
1,Will F.,BADBADNOTGOOD,Talk Memory,,
2,Will F.,black midi,Cavalcade,,
3,Will F.,Injury Reserve,By the Time I Get to Phoenix,,
4,Will F.,"Tyler, the Creator",Call Me If You Get Lost,,
5,Will F.,Little Simz,Sometimes I Might Be Introvert,,
6,Will F.,JPEGMAFIA,LP!,,
7,Will F.,Parcels,Day/Night,,
8,Will F.,Floating Points & Pharaoh Sanders,Promises,,
9,Will F.,Hiatus Kaiyote,Mood Valiant,,
10,Will F.,Kanye West,Donda,,
1,Will W.,Manchester Orchestra,The Million Masks of God,,
2,Will W.,Robert Plant & Alison Krauss,Raise The Roof,,
3,Will W.,Sarah Christian,Tchaikovsky (Violin Concerto & Souvenir de Florence),,
4,Will W.,Sting,The Bridge,,
5,Will W.,Lord Huron,Long Lost,,
6,Will W.,Inbal Segev,20 for 2020 Volume 1,,
7,Will W.,Ben Howard,Collections From The Whiteout,,
8,Will W.,Joe Bonamassa,Time Clocks,,
9,Will W.,Colin James,Open Road,,
10,Will W.,Harriet Krijgh & Magda Amara,Silent Dreams,,
1,Zack,Hudson Freeman,I Am All the Ages I've Ever Been,,
2,Zack,John Mark McMillan,Has It Been You,,
3,Zack,COIN,Rainbow Mixtape,,
4,Zack,Daniel James McFadyen,"August, I'm Yours",,
5,Zack,Lizzy McAlpine,When The World Stopped Moving: The Live EP,,
6,Zack,Mark Barlow,Hymns & Soul,,
7,Zack,Aquilo,A Safe Place To Be,,
8,Zack,Tingsek,Home,,
9,Zack,Ben Howard,Collections From The Whiteout,,
10,Zack,The Paper Kites,Roses,,
