Rank,Lister,Artist,Album,# of lists,98
2,Brad,Every Time I Die,Radical,,
3,Brad,Parcels,Day/Night,,
4,Brad,Turnstile,Glow On,,
5,Brad,Helado Negro,Far In,,
6,Brad,Little Simz,Sometimes I Might Be Introvert,,
7,Brad,"quickly, quickly",The Long and Short of It,,
8,Brad,"Tyler, the Creator",Call Me If You Get Lost,,
9,Brad,Godspeed You! Black Emperor,G_d’s Pee AT STATE’S END!,,
10,Brad,Genesis Owusu,Smiling with No Teeth,,
1,Braden,Dave,We’re All Alone in this Together,,
2,Braden,Silk Sonic,An Evening With Silk Sonic,,
3,Braden,Kanye West,Donda,,
4,Braden,Arlo Parks,Collapsed in Sunbeams,,
5,Braden,Japanese Breakfast,Jubilee,,
6,Braden,KAROL G,KG0516,,
7,Braden,James Blake,Friends That Break Your Heart,,
8,Braden,Lorde,Solar Power,,
9,Braden,Joy Crookes,Skin,,
10,Braden,Baby Keem,The Melodic Blue,,
1,Brandon,Oz,Perfect,,
2,Brandon,Nas,King’s Disease II,,
3,Brandon,"Tyler, the Creator",Call Me If You Get Lost,,
4,Brandon,J. Cole,The Off-Season,,
5,Brandon,Silk Sonic,An Evening With Silk Sonic,,
6,Brandon,O P Yeti,Alexander Mackay: THE WORST,,
7,Brandon,Mac Ayres,Magic 8ball,,
8,Brandon,Wiki,Half God,,
9,Brandon,Vince Staples,Vince Staples,,
10,Brandon,The Alchemist,This Thing of Ours,,
1,Brianna,Doja Cat,Planet Her,,
2,Brianna,Pi'erre Bourne,The Life Of Pi'erre 5,,
3,Brianna,42 Dugg,Free Dem Boyz,,
4,Brianna,Mariah the Scientist,RY RY WORLD,,
5,Brianna,Lil Nas X,Montero,,
6,Brianna,Drake,Certified Lover Boy,,
7,Brianna,Kanye West,Donda,,
8,Brianna,Billie Eilish,Happier Than Ever,,
9,Brianna,Leon Bridges,Gold-Diggers Sound,,
10,Brianna,Polo G,Hall of Fame,,
1,Brianne,Greta Van Fleet,The Battle at Garden’s Gate,,
2,Brianne,Ida Mae,Click Click Domino,,
3,Brianne,Fleet Foxes,A Very Lonely Solstice,,
4,Brianne,Bo Burnham,Inside (The Songs),,
5,Brianne,The Sheepdogs,No Simple Thing (EP),,
6,Brianne,Jade Bird,Different Kinds of Light,,
7,Brianne,Lizzy McAlpine,When The World Stopped Moving: The Live EP,,
8,Brianne,Joy Oladokun,in defense of my own happiness,,
